"STATE","DISTRICT","SUBMERSIBLE PUMPS","CENTRIFUGAL PUMPS","TURBINE","MANUAL/ANIMAL","OITHERS","TOTAL"
"UTTAR PRADESH","AZAMGARH",0,0,0,0,9,9
"UTTAR PRADESH","BAGHPAT",1,0,0,0,68,69
"UTTAR PRADESH","BALLIA",11,137,0,0,567,715
"UTTAR PRADESH","BALRAMPUR",0,13,0,0,90,103
"UTTAR PRADESH","BANDA",7,1231,16,0,257,1511
"UTTAR PRADESH","BARABANKI",0,157,1,0,280,438
"UTTAR PRADESH","BAREILLY",0,0,0,0,7,7
"UTTAR PRADESH","BASTI",5,26,0,1,10,42
"UTTAR PRADESH","CHANDAULI",22,244,28,0,498,792
"UTTAR PRADESH","CHITRAKOOT",158,3172,2,0,645,3977
"UTTAR PRADESH","DEORIA",1,26,0,0,0,27
"UTTAR PRADESH","FAIZABAD",0,207,0,0,98,305
"UTTAR PRADESH","FARRUKHABAD",0,1,0,0,23,24
"UTTAR PRADESH","FATEHPUR",3,394,0,0,380,777
"UTTAR PRADESH","FIROZABAD",10,0,0,0,41,51
"UTTAR PRADESH","GHAZIPUR",0,0,0,0,59,59
"UTTAR PRADESH","GONDA",0,0,0,0,9,9
"UTTAR PRADESH","HAMIRPUR",353,1948,13,0,568,2882
"UTTAR PRADESH","HARDOI",0,142,0,0,211,353
"UTTAR PRADESH","JALAUN",0,550,0,0,177,727
"UTTAR PRADESH","JAUNPUR",2,75,0,0,0,77
"UTTAR PRADESH","JHANSI",223,25640,15,0,2299,28177
"UTTAR PRADESH","KANNAUJ",0,57,0,0,0,57
"UTTAR PRADESH","KANPUR DEHAT",9,130,18,0,1,158
"UTTAR PRADESH","KANPUR NAGAR",0,142,0,0,0,142
"UTTAR PRADESH","KAUSHAMBI",0,15,0,0,0,15
"UTTAR PRADESH","KHERI",4,159,0,0,0,163
"UTTAR PRADESH","LALITPUR",2906,23533,91,0,2989,29519
"UTTAR PRADESH","LUCKNOW",1,7,1,0,41,50
"UTTAR PRADESH","MAHARAJ GANJ",0,17,0,0,25,42
"UTTAR PRADESH","MAHOBA",288,14288,6,0,1443,16025
"UTTAR PRADESH","MAINPURI",0,0,0,0,2,2
"UTTAR PRADESH","MATHURA",0,110,0,0,266,376
"UTTAR PRADESH","MAU",3,7,0,0,113,123
"UTTAR PRADESH","MEERUT",0,0,0,0,20,20
"UTTAR PRADESH","MIRZAPUR",1870,11851,298,195,3400,17614
"UTTAR PRADESH","MUZZAFARNAGAR",161,2,0,0,61,224
"UTTAR PRADESH","PRATAPGARH",1,136,0,0,19,156
"UTTAR PRADESH","RAEBARELI",159,838,0,52,3918,4967
