"STATE","DISTRICT","0-2 HP","2-4 HP","4-6 HP","6-8 HP","8-10 HP","ABOVE 10 HP","NO LIFTING DEVICE","TOTAL"
"KERALA","PATHANAMTHITTA",4285,825,40,1,1,17,2344,7513
"KERALA","THIRUVANANTHAPURAM",2565,2054,47,3,1,792,1099,6561
"KERALA","THRISSUR",2710,42280,843,12,24,233,19,46121
"KERALA","WAYANAD",162,501,84,1,2,7,86,843
"MADHYA PRADESH","ANUPPUR",1148,677,118,2,811,3,92,2851
"MADHYA PRADESH","Ashok Nagar",0,135,3292,74,152,4018,0,7671
"MADHYA PRADESH","BALAGHAT",1987,7248,972,0,1,20,191,10419
"MADHYA PRADESH","BARWANI",2,17279,5215,164,298,25,0,22983
"MADHYA PRADESH","BETUL",610,41119,13203,966,600,603,238,57339
"MADHYA PRADESH","BHIND",28,10,893,659,431,3746,3684,9451
"MADHYA PRADESH","BHOPAL",4,3126,7512,67,2,32,0,10743
"MADHYA PRADESH","BURHANPUR",4,7032,7969,1122,24,975,0,17126
"MADHYA PRADESH","CHHATARPUR",20,3030,8697,163,251,9,4,12174
"MADHYA PRADESH","CHHINDWARA",7077,68763,4019,53,2,85,0,79999
"MADHYA PRADESH","DAMOH",24,5894,10165,247,35,62,0,16427
"MADHYA PRADESH","DATIA",20,6027,15688,1021,86,219,3,23064
"MADHYA PRADESH","DEWAS",315,14663,14335,802,3323,461,6,33905
"MADHYA PRADESH","DHAR",156,33381,15726,274,152,447,34,50170
"MADHYA PRADESH","DINDORI",83,50,80,0,0,1,113,327
"MADHYA PRADESH","GUNA",12,6413,10980,111,33,9398,0,26947
"MADHYA PRADESH","GWALIOR",1348,656,5463,128,30,220,8,7853
"MADHYA PRADESH","HARDA",34,3938,8697,257,246,370,7,13549
"MADHYA PRADESH","HOSHANGABAD",361,9427,11707,138,111,159,0,21903
"MADHYA PRADESH","INDORE",0,2,13,11,1,0,0,27
"MADHYA PRADESH","JABALPUR",27,1924,6886,400,7,583,0,9827
"MADHYA PRADESH","JHABUA",347,10365,10233,540,152,214,52,21903
"MADHYA PRADESH","KATNI",262,6998,4232,66,326,28,120,12032
"MADHYA PRADESH","KHANDWA",8,39171,4361,323,39,346,0,44248
"MADHYA PRADESH","KHARGONE",43,55499,7292,546,22,178,0,63580
"MADHYA PRADESH","MANDLA",1056,933,224,14,8,14,24,2273
"MADHYA PRADESH","MANDSAUR",235,93762,3643,316,22,578,24,98580
"MADHYA PRADESH","MORENA",495,141,12520,1055,1343,5268,140,20962
"MADHYA PRADESH","NARSINGHPUR",14,4185,19020,703,3,130,0,24055
"MADHYA PRADESH","NEEMUCH",39,41766,4845,398,9,1068,0,48125
"MADHYA PRADESH","PANNA",1,1298,5297,8,11,17,9,6641
"MADHYA PRADESH","RAISEN",7,801,7754,238,91,1273,0,10164
"MADHYA PRADESH","RAJGARH",105,57561,11090,499,25,1590,44,70914
"MADHYA PRADESH","RATLAM",1164,33418,11260,556,252,163,58,46871
