"STATE","DISTRICT","0-2 HP","2-4 HP","4-6 HP","6-8 HP","8-10 HP","AVE 10 HP","NO LIFTING DEVICE","TOTAL"
"JHARKHAND","SIMDEGA",0,19,3,0,0,0,30,52
"JHARKHAND","WEST SINGHBHUM",0,0,0,0,0,0,4,4
"KARNATAKA","Bagalkote",27,439,22152,1964,1458,3306,2,29348
"KARNATAKA","Bangalore",20,75,6781,4312,1115,1579,55,13937
"KARNATAKA","Bangalore Rural",61,404,15978,12014,5199,9399,398,43453
"KARNATAKA","Belgaum",24,2766,20210,7558,4669,7902,355,43484
"KARNATAKA","Bellary",40,416,16861,4091,402,257,70,22137
"KARNATAKA","Bidar",5,755,13003,1170,256,67,9,15265
"KARNATAKA","Bijapur",4,656,15050,1899,293,430,3,18335
"KARNATAKA","Chamaraja Nagara",33,89,17539,1267,3490,255,176,22849
"KARNATAKA","Chikmagalur",34,4765,18504,508,53,345,3,24212
"KARNATAKA","Chitradurga",846,786,35392,10404,585,301,401,48715
"KARNATAKA","Dakshina Kannada",106,3638,10323,719,157,225,27,15195
"KARNATAKA","Davanagere",36,699,25886,13525,1559,1460,19,43184
"KARNATAKA","Dharwar",0,162,8369,751,74,51,2,9409
"KARNATAKA","Gadag",14,126,8927,451,61,208,3,9790
"KARNATAKA","Gulbarga",10,1273,11237,692,99,174,516,14001
"KARNATAKA","Hassan",130,9162,35755,1128,74,127,16,46392
"KARNATAKA","Haveri",34,246,21939,1391,538,102,178,24428
"KARNATAKA","Kodagu",1,18,1122,30,50,161,0,1382
"KARNATAKA","Kolar",66,540,4705,12303,11041,31175,502,60332
"KARNATAKA","Koppal",83,415,24804,776,154,155,209,26596
"KARNATAKA","Mandya",8,5038,26942,3319,190,152,60,35709
"KARNATAKA","Mysore",24,982,23906,1026,66,82,153,26239
"KARNATAKA","Raichur",2,488,6380,567,22,189,18,7666
"KARNATAKA","Shimoga",129,1702,15866,2326,55,96,7,20181
"KARNATAKA","Tumkur",127,924,29854,26123,20069,22709,2729,102535
"KARNATAKA","Udupi",181,1197,628,22,3,39,7,2077
"KARNATAKA","Uttara Kannada",1069,1813,3411,22,7,13,41,6376
"KERALA","ALAPPUZHA",1330,218,1,0,0,1,6,1556
"KERALA","ERANAKULAM",23,62,11,0,3,1,0,100
"KERALA","IDDUKKI",1,64,10,0,0,0,11,86
"KERALA","KANNUR",89,68,15,0,0,1,0,173
"KERALA","KASARAGODE",7,370,22,0,1,3,3,406
"KERALA","KOLLAM",13,4,0,0,0,6,4,27
"KERALA","KOTTAYAM",13,1,0,0,0,1,8,23
"KERALA","KOZHIKODE",5,1,0,0,0,0,0,6
"KERALA","MALAPPURAM",57,283,4,0,0,3,0,347
"KERALA","PALAKKAD",164,689,386,4,38,16,0,1297
"KERALA","PATHANAMTHITTA",8,45,0,0,0,0,4,57
"KERALA","THIRUVANANTHAPURAM",13,13,0,0,0,0,0,26
"KERALA","THRISSUR",184,1560,26,3,5,16,2,1796
"KERALA","WAYANAD",6,7,0,0,0,0,0,13
"MADHYA PRADESH","ANUPPUR",0,2,1,1,10,0,0,14
"MADHYA PRADESH","Ashok Nagar",0,35,995,114,82,55,0,1281
"MADHYA PRADESH","BALAGHAT",0,10,4,0,0,0,0,14
"MADHYA PRADESH","BARWANI",0,53,282,13,120,62,0,530
