"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (LINED/PUCCA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLE - NUMBER","SPRINKLE - POTENTIAL UTILISED","OTHER - NUMBER","OTHER - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"GUJARAT","KACHCHH",332,1313.2,10229,30423.36,2135,5796.81,130,393,2,1.82,0,0,497,961.59,13325,38889.78
"GUJARAT","KHEDA",30,85.74,1891,7781.28,570,3677.53,317,700.46,0,0,8,0.28,3,2,2819,12247.29
"GUJARAT","MEHSANA",34,231.7,27,98.4,15300,153884.21,91,447.25,0,0,2,0,10,39.5,15464,154701.06
"GUJARAT","NARMADA",0,0,420,2773.97,321,1414.05,169,747.67,11,33.16,0,0,0,0,921,4968.85
"GUJARAT","NAVSARI",0,0,7,59.1,0,0,6,14.87,0,0,0,0,0,0,13,73.97
"GUJARAT","PANCHMAHAL",2,7.37,67,329.93,36,218.75,213,1159.88,0,0,0,0,0,0,318,1715.93
"GUJARAT","PATAN",44,636.86,102,1069.02,5084,35294.4,1332,13708.98,0,0,5,44.69,0,0,6567,50753.95
"GUJARAT","PORBANDAR",0,0,32,69,0,0,0,0,0,0,0,0,0,0,32,69
"GUJARAT","RAJKOT",339,3591.24,2816,16961.99,355,2423.95,28,164.49,0,0,0,0,3,27.35,3541,23169.02
"GUJARAT","SABARKANTHA",219,491.99,8710,21885.19,82,157.86,1,3.84,1,3.21,5,4.46,146,274.68,9164,22821.23
"GUJARAT","SURAT",4,104,1,20,0,0,0,0,0,0,0,0,3,20,8,144
"GUJARAT","SURENDRANAGAR",23,46.97,12837,54523.72,1598,7546.44,73,4290.72,10,79.1,0,0,50,9146.22,14591,75633.17
"GUJARAT","VADODARA",25,151.15,146,307.21,5103,32147.11,155,683.03,1,1.06,3,14.85,376,30.09,5809,33334.5
"HARYANA","AMBALA",316,965.82,4251,32956.94,0,0,0,0,0,0,0,0,0,0,4567,33922.76
"HARYANA","BHIWANI",2778,10560.42,1032,2491.6,0,0,0,0,0,0,0,0,0,0,3810,13052.02
"HARYANA","FARIDABAD",0,0,28,141.88,0,0,0,0,0,0,0,0,0,0,28,141.88
