"STATE","DISTRICT","ELECTRIC PUMPS","DIESEL PUMPS","WIND MILLS","SOLAR PUMPS","MANUAL / ANIMAL","OTHERS","TOTAL"
"MADHYA PRADESH","VIDISHA",3424,16667,3,2,0,182,20278
"MAHARASHTRA","AHMEDNAGAR",149079,2627,266,18,474,24144,176608
"MAHARASHTRA","AKOLA",20502,433,45,20,0,456,21456
"MAHARASHTRA","AMRAVATI",78767,661,181,7,0,1435,81051
"MAHARASHTRA","AURANGABAD",100079,304,364,33,77,328,101185
"MAHARASHTRA","BEED",41333,673,10,5,1,129,42151
"MAHARASHTRA","BHANDARA",16109,1348,252,2,189,66,17966
"MAHARASHTRA","BULDANA",61127,1426,204,29,13,9594,72393
"MAHARASHTRA","CHANDRAPUR",12762,7659,317,7,132,45,20922
"MAHARASHTRA","DHULE",54388,423,95,2,8,4423,59339
"MAHARASHTRA","GADCHIROLI",6543,3884,1689,16,777,215,13124
"MAHARASHTRA","GONDIYA",5949,2162,354,3,864,148,9480
"MAHARASHTRA","HINGOLI",28621,352,73,3,0,0,29049
"MAHARASHTRA","JALGAON",117541,2908,496,12,25,1239,122221
"MAHARASHTRA","JALNA",68702,74,41,7,0,2386,71210
"MAHARASHTRA","KOLHAPUR",36257,5662,70,16,24,1381,43410
"MAHARASHTRA","LATUR",37920,220,12,20,5,76,38253
"MAHARASHTRA","NAGPUR",65235,3290,530,7,578,55,69695
"MAHARASHTRA","NANDED",31727,343,52,20,1,4,32147
"MAHARASHTRA","NANDURBAR",16378,300,51,1,3,206,16939
"MAHARASHTRA","NASHIK",173354,3319,860,883,74,303,178793
"MAHARASHTRA","OSMANABAD",47312,309,86,9,37,229,47982
"MAHARASHTRA","PARBHANI",31101,119,32,1,2,69,31324
"MAHARASHTRA","PUNE",126245,3223,124,4,0,149,129745
"MAHARASHTRA","RAIGHAR",3220,50,12,11,379,934,4606
"MAHARASHTRA","RATNAGIRI",2383,236,11,12,416,342,3400
"MAHARASHTRA","SANGLI",85738,2437,63,11,2,556,88807
"MAHARASHTRA","SATARA",63246,5802,104,4,7,67,69230
"MAHARASHTRA","SINDHUDURGA",6179,299,11,4,619,327,7439
"MAHARASHTRA","SOLAPUR",128017,1405,698,44,5,2673,132842
"MAHARASHTRA","THANE",5534,1727,10,0,989,31,8291
"MAHARASHTRA","WARDHA",45297,1491,264,6,80,156,47294
"MAHARASHTRA","WASHIM",25477,192,114,1,0,261,26045
"MAHARASHTRA","YAVATMAL",38281,2522,130,7,0,5,40945
"MEGHALAYA","JAINTIA HILLS",0,0,0,0,7,1,8
"MEGHALAYA","WEST GARO HILLS",0,1,0,0,1,0,2
"MEGHALAYA","WEST KHASI HILLS",0,0,0,0,1,2,3
"NAGALAND","DIMAPUR",3,59,0,0,8,29,99
"ODISHA","ANGUL",2380,2120,2,5,25602,1538,31647
"ODISHA","BALASORE",264,209,0,0,519,1650,2642
"ODISHA","BARGARH",1132,4050,4,12,12479,5933,23610
"ODISHA","BHADRAK",16,32,0,0,20,186,254
"ODISHA","BOLANGIR",1530,5317,4,6,39760,12655,59272
"ODISHA","BOUDH",157,577,1,2,10374,1764,12875
"ODISHA","CUTTACK",272,2581,1,2,9567,3168,15591
