"STATE","DISTRICT","0-6 HP","6-12 HP","12-18 HP","GREATER THAN 18 HP","NO LIFTING DEVICE","TOTAL"
"RAJASTHAN","SIROHI",32,104,16,8,0,160
"RAJASTHAN","TONK",87,326,97,0,0,510
"RAJASTHAN","UDAIPUR",1185,103,1,1,8,1298
"TAMIL NADU","COIMBATORE",11280,6889,420,62,6,18657
"TAMIL NADU","CUDDALORE",3852,8524,8851,2520,1,23748
"TAMIL NADU","DHARMAPURI",178,10,0,0,0,188
"TAMIL NADU","DINDIGUL",2299,109,1,24,0,2433
"TAMIL NADU","ERODE",7736,2333,45,146,13,10273
"TAMIL NADU","KANCHEEPURAM",2286,520,150,3,0,2959
"TAMIL NADU","KANYAKUMARI",307,32,0,2,1,342
"TAMIL NADU","KARUR",2179,281,3,10,0,2473
"TAMIL NADU","KRISHNAGIRI",4278,530,9,8,10,4835
"TAMIL NADU","MADURAI",478,28,0,0,0,506
"TAMIL NADU","NAGAPATTINAM",1938,1007,2,13,0,2960
"TAMIL NADU","NAMAKKAL",4241,53,1,6,5,4306
"TAMIL NADU","NILGIRIS",1,0,0,0,0,1
"TAMIL NADU","PERAMBALUR",948,1617,828,497,1,3891
"TAMIL NADU","PUDUKKOTTAI",1669,5925,1461,28,59,9142
"TAMIL NADU","RAMANATHAPURAM",767,672,0,1,4,1444
"TAMIL NADU","SALEM",9061,2048,17,27,35,11188
"TAMIL NADU","SIVAGANGA",1128,244,9,3,0,1384
"TAMIL NADU","THANJAVUR",8610,14710,3746,111,2,27179
"TAMIL NADU","THENI",503,255,9,12,0,779
"TAMIL NADU","THIRUVALLUR",1777,975,200,0,0,2952
"TAMIL NADU","THIRUVARUR",6109,2712,97,822,0,9740
"TAMIL NADU","TIRUCHIRAPPALLI",1292,163,2,4,0,1461
"TAMIL NADU","TIRUNELVELI",550,18,1,1,0,570
"TAMIL NADU","TIRUVANNAMALAI",380,33,0,0,0,413
"TAMIL NADU","TUTICORIN DISTRICT",272,67,0,0,4,343
"TAMIL NADU","VELLORE",4562,814,88,69,6,5539
"TAMIL NADU","VILLUPPURAM",3300,2798,3576,899,0,10573
"TAMIL NADU","VIRUDHUNAGAR",316,11,0,1,0,328
"TRIPURA","DHALAI",0,1,0,0,0,1
"TRIPURA","NORTH TRIPURA",0,0,3,5,0,8
"TRIPURA","SOUTH TRIPURA",0,3,5,19,0,27
"TRIPURA","WEST TRIPURA",8,11,10,101,0,130
"UTTAR PRADESH","AGRA",123,472,150,164,0,909
"UTTAR PRADESH","ALIGARH",14,472,74,122,0,682
"UTTAR PRADESH","ALLAHABAD",54,703,99,734,0,1590
"UTTAR PRADESH","AMBEDAKAR NAGAR",22,106,247,114,0,489
"UTTAR PRADESH","AURAIYA",2,260,38,205,0,505
"UTTAR PRADESH","AZAMGARH",15,43,31,296,0,385
"UTTAR PRADESH","BAGHPAT",4,245,167,104,0,520
"UTTAR PRADESH","BAHARAICH",2,130,383,4,0,519
"UTTAR PRADESH","BALLIA",9,487,551,167,0,1214
"UTTAR PRADESH","BALRAMPUR",1,248,136,17,0,402
"UTTAR PRADESH","BANDA",28,860,8,524,0,1420
"UTTAR PRADESH","BARABANKI",6,86,35,153,0,280
"UTTAR PRADESH","BAREILLY",28,257,400,96,0,781
"UTTAR PRADESH","BASTI",79,256,411,32,0,778
"UTTAR PRADESH","BIJNOR",41,740,6,11,2,800
"UTTAR PRADESH","BUDAUN",10,559,290,75,0,934
"UTTAR PRADESH","BULAND SAHAR",8,337,0,0,0,345
"UTTAR PRADESH","CHANDAULI",47,72,18,154,0,291
"UTTAR PRADESH","CHITRAKOOT",0,190,0,4,0,194
"UTTAR PRADESH","DEORIA",27,176,812,27,1,1043
"UTTAR PRADESH","ETAH",0,209,1,541,0,751
"UTTAR PRADESH","ETAWAH",0,258,11,317,0,586
"UTTAR PRADESH","FAIZABAD",22,301,342,154,0,819
"UTTAR PRADESH","FARRUKHABAD",5,142,13,281,0,441
"UTTAR PRADESH","FATEHPUR",6,662,406,464,0,1538
"UTTAR PRADESH","FIROZABAD",0,446,23,78,0,547
"UTTAR PRADESH","GAUTAM BUDHA NAGAR",12,112,29,15,0,168
"UTTAR PRADESH","GHAZIABAD",6,105,30,75,0,216
"UTTAR PRADESH","GHAZIPUR",46,95,29,610,0,780
"UTTAR PRADESH","GONDA",8,429,233,11,0,681
