"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (LINED/PUCCA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLER - NUMBER","SPRINKLER - POTENTIAL UTILISED","OTHERS - NUMBER","OTHERS - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"GUJARAT","NAVSARI",16,16.63,11902,16797.62,757,630.76,831,369.34,4,4.74,2,0,261,40.47,13773,17859.56
"GUJARAT","PANCHMAHAL",5148,12379.25,31836,50494.17,1320,1776.95,2094,3946.37,113,96.98,0,0,9,7.45,40520,68701.17
"GUJARAT","PATAN",0,0,1,6.3,2,14.7,0,0,0,0,0,0,0,0,3,21
"GUJARAT","PORBANDAR",49,68.41,25856,43654,1,3.08,14,14.57,5,4.23,48,97.93,677,0.15,26650,43842.37
"GUJARAT","RAJKOT",2756,3749.58,130496,256390.4,4644,11381.28,4422,9330.06,277,456.37,13,10.17,129,18.55,142737,281336.41
"GUJARAT","SABARKANTHA",803,1115.6,64890,136954.53,4704,10239.42,227,504.88,66,91.1,247,559.7,797,1460.19,71734,150925.42
"GUJARAT","SURAT",30956,44265.18,791,704.15,1,2.5,580,650.87,1,3.12,0,0,11,10.68,32340,45636.5
"GUJARAT","SURENDRANAGAR",318,691.66,27581,71419.45,3602,7653.96,310,1251.3,189,497.23,27,68.48,2236,1503.45,34263,83085.53
"GUJARAT","VADODARA",1148,3427.81,6278,14041.91,3530,11633.95,3649,8026.11,26,80.27,5,6.11,6293,11283.28,20929,48499.44
"GUJARAT","VALSAD",200,348.58,3989,5525.69,2868,2568.28,4231,6162.98,2,1.08,0,0,1,0.02,11291,14606.63
"HARYANA","BHIWANI",362,1638.64,76,178.24,0,0,0,0,0,0,0,0,0,0,438,1816.88
"HARYANA","GURGAON",248,269.06,62,123.6,0,0,0,0,0,0,0,0,0,0,310,392.66
"HARYANA","JHAJJAR",136,234.66,233,702.64,0,0,0,0,0,0,0,0,0,0,369,937.3
"HARYANA","KARNAL",356,2142.82,23,235.8,0,0,0,0,0,0,0,0,0,0,379,2378.62
"HARYANA","MAHENDRAGARH",19,45.82,24,94.14,0,0,0,0,0,0,0,0,0,0,43,139.96
"HARYANA","MEWAT",414,1061.92,128,317.5,0,0,0,0,0,0,0,0,0,0,542,1379.42
"HARYANA","REWARI",99,514.92,105,441.32,0,0,0,0,0,0,0,0,0,0,204,956.24
"HIMACHAL PRADESH","Bilaspur",8,27.68,66,386.61,15,36.26,7,11.1,0,0,0,0,1,4.8,97,466.45
"HIMACHAL PRADESH","Hamirpur",10,9.92,86,81.77,5,6.46,39,33,0,0,1,0.06,10,3.99,151,135.2
"HIMACHAL PRADESH","Kangra",20,195.46,72,261.99,2,63.3,24,43.92,0,0,0,0,19,2.44,137,567.11
